0,0
1,0
1.41655,0.115416
1.73499,0.199927
2.00574,0.285089
2.24442,0.365676
2.45022,0.445158
2.64371,0.525194
2.83425,0.611916
3.00606,0.68959
3.17049,0.778829
3.32635,0.855023
3.48454,0.944546
3.6282,1.02835
3.76189,1.11331
3.89048,1.18948
4.02393,1.26895
4.14193,1.33794
4.25972,1.41536
4.36935,1.48819
4.47573,1.57644
4.58522,1.65898
4.70272,1.74551
4.81456,1.83104
4.92173,1.91918
5.01817,2.00126
5.12064,2.08204
5.20698,2.1619
5.2946,2.25347
5.37092,2.33329
5.46584,2.41985
5.56904,2.50595
5.64455,2.57672
5.72054,2.63079
5.80917,2.71523
5.90239,2.79798
5.97719,2.8764
6.065,2.96518
6.1524,3.0537
6.23699,3.14043
6.31367,3.22998
6.37751,3.28838
6.47032,3.39131
6.55149,3.49057
6.63271,3.57665
6.7082,3.64071
6.77637,3.71894
6.86137,3.82755
6.94043,3.92696
7.02084,4.02736
7.09336,4.10808
7.15605,4.18223
7.22486,4.26138
7.29311,4.35185
7.37334,4.44797
7.43055,4.52163
7.50668,4.62256
7.5783,4.7089
7.65018,4.77396
7.71502,4.84673
7.787,4.94984
7.85159,5.01277
7.91289,5.10331
7.97532,5.19823
8.03784,5.25602
8.0972,5.33591
8.16364,5.4102
8.2235,5.49211
8.28145,5.57688
8.33095,5.65186
8.39363,5.7253
8.46033,5.81684
8.52068,5.89997
8.57788,5.98386
8.63853,6.03905
8.69479,6.13195
8.7518,6.2066
8.80711,6.28338
8.86432,6.36565
8.92398,6.46446
8.98244,6.55124
9.04289,6.6201
9.10016,6.7067
9.15119,6.80703
9.20776,6.91575
9.25421,6.99512
9.30031,7.06411
9.35969,7.1531
9.41401,7.25774
9.4716,7.33009
9.52668,7.42514
9.58231,7.53031
9.63532,7.59253
9.69461,7.68766
9.73757,7.76934
9.79314,7.86899
9.8501,7.9479
9.90581,8.04483
9.94865,8.09973
9.99235,8.17533
